,0
164,'11240';'Graz/Flughafen';'340';'2021-02-02';'20:00';'0.0';'°C';'2021-02-02 20:10:13'
165,'11240';'Graz/Flughafen';'340';'2021-02-02';'21:00';'-0.5';'°C';'2021-02-02 21:10:09'
166,'11240';'Graz/Flughafen';'340';'2021-02-02';'22:00';'-0.5';'°C';'2021-02-02 22:10:09'
167,'11240';'Graz/Flughafen';'340';'2021-02-02';'23:00';'-1.3';'°C';'2021-02-02 23:10:08'
168,'11240';'Graz/Flughafen';'340';'2021-02-03';'00:00';'-0.8';'°C';'2021-02-03 00:10:09'
169,'11240';'Graz/Flughafen';'340';'2021-02-03';'01:00';'-0.6';'°C';'2021-02-03 01:10:09'
170,'11240';'Graz/Flughafen';'340';'2021-02-03';'02:00';'-1.3';'°C';'2021-02-03 02:10:09'
171,'11240';'Graz/Flughafen';'340';'2021-02-03';'03:00';'-2.1';'°C';'2021-02-03 03:10:12'
172,'11240';'Graz/Flughafen';'340';'2021-02-03';'04:00';'-2.5';'°C';'2021-02-03 04:10:09'
173,'11240';'Graz/Flughafen';'340';'2021-02-03';'05:00';'-3.2';'°C';'2021-02-03 05:10:09'
174,'11240';'Graz/Flughafen';'340';'2021-02-03';'06:00';'-2.9';'°C';'2021-02-03 06:10:16'
175,'11240';'Graz/Flughafen';'340';'2021-02-03';'07:00';'-2.7';'°C';'2021-02-03 07:10:09'
176,'11240';'Graz/Flughafen';'340';'2021-02-03';'08:00';'-2.5';'°C';'2021-02-03 08:10:08'
177,'11240';'Graz/Flughafen';'340';'2021-02-03';'09:00';'-1.1';'°C';'2021-02-03 09:10:10'
178,'11240';'Graz/Flughafen';'340';'2021-02-03';'10:00';'-0.1';'°C';'2021-02-03 10:10:09'
179,'11240';'Graz/Flughafen';'340';'2021-02-03';'11:00';'1.8';'°C';'2021-02-03 11:10:10'
180,'11240';'Graz/Flughafen';'340';'2021-02-03';'12:00';'3.5';'°C';'2021-02-03 12:10:09'
181,'11240';'Graz/Flughafen';'340';'2021-02-03';'13:00';'6.1';'°C';'2021-02-03 13:10:09'
182,'11240';'Graz/Flughafen';'340';'2021-02-03';'14:00';'7.2';'°C';'2021-02-03 14:10:09'
